conversation_id,transcript,rule_id,rule_type,speaker,evaluation_type,n_messages,description,ground_truth
conv_001,"[{""msg"": ""Thank you for calling ShopDirect. My name is Sarah, how can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700000000}, {""msg"": ""Hi, I'm trying to track my order. It's been a week and nothing's arrived."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700000030}, {""msg"": ""I'm sorry to hear that! Could you give me your order number so I can look that up?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700000060}, {""msg"": ""Yes, it's ORD-44218."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700000090}, {""msg"": ""Thank you. I can see order ORD-44218 — it shows as dispatched but stuck at the regional hub. I'll raise an urgent trace with the courier right away."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700000120}, {""msg"": ""How long will that take?"", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700000150}, {""msg"": ""The trace typically resolves within 48 hours. Is there anything else I can help you with today?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700000180}, {""msg"": ""No, that's all. Thanks."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700000210}]",rule_answer_1,answer,agent,first,2,The agent greeted the customer warmly,Yes
conv_001,"[{""msg"": ""Thank you for calling ShopDirect. My name is Sarah, how can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700000000}, {""msg"": ""Hi, I'm trying to track my order. It's been a week and nothing's arrived."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700000030}, {""msg"": ""I'm sorry to hear that! Could you give me your order number so I can look that up?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700000060}, {""msg"": ""Yes, it's ORD-44218."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700000090}, {""msg"": ""Thank you. I can see order ORD-44218 — it shows as dispatched but stuck at the regional hub. I'll raise an urgent trace with the courier right away."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700000120}, {""msg"": ""How long will that take?"", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700000150}, {""msg"": ""The trace typically resolves within 48 hours. Is there anything else I can help you with today?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700000180}, {""msg"": ""No, that's all. Thanks."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700000210}]",rule_trigger_2,trigger,customer,entire,0,The customer had a specific request,Yes
conv_001,"[{""msg"": ""Thank you for calling ShopDirect. My name is Sarah, how can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700000000}, {""msg"": ""Hi, I'm trying to track my order. It's been a week and nothing's arrived."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700000030}, {""msg"": ""I'm sorry to hear that! Could you give me your order number so I can look that up?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700000060}, {""msg"": ""Yes, it's ORD-44218."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700000090}, {""msg"": ""Thank you. I can see order ORD-44218 — it shows as dispatched but stuck at the regional hub. I'll raise an urgent trace with the courier right away."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700000120}, {""msg"": ""How long will that take?"", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700000150}, {""msg"": ""The trace typically resolves within 48 hours. Is there anything else I can help you with today?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700000180}, {""msg"": ""No, that's all. Thanks."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700000210}]",rule_answer_2,answer,agent,entire,0,The agent confirmed the customer's details,Yes
conv_001,"[{""msg"": ""Thank you for calling ShopDirect. My name is Sarah, how can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700000000}, {""msg"": ""Hi, I'm trying to track my order. It's been a week and nothing's arrived."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700000030}, {""msg"": ""I'm sorry to hear that! Could you give me your order number so I can look that up?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700000060}, {""msg"": ""Yes, it's ORD-44218."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700000090}, {""msg"": ""Thank you. I can see order ORD-44218 — it shows as dispatched but stuck at the regional hub. I'll raise an urgent trace with the courier right away."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700000120}, {""msg"": ""How long will that take?"", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700000150}, {""msg"": ""The trace typically resolves within 48 hours. Is there anything else I can help you with today?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700000180}, {""msg"": ""No, that's all. Thanks."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700000210}]",rule_answer_3,answer,agent,last,2,The call was wrapped up properly,Yes
conv_002,"[{""msg"": ""Hi, you've reached ShopDirect support. This is James speaking. How can I assist?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700010000}, {""msg"": ""I ordered something five days ago and it still hasn't shipped. This is really frustrating."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700010030}, {""msg"": ""I understand your frustration. Let me pull up your account. What's your order reference?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700010060}, {""msg"": ""REF-78201."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700010090}, {""msg"": ""I've got order REF-78201 here. It looks like there was a warehouse stock discrepancy that delayed fulfilment. The item has now been allocated and should ship today."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700010120}, {""msg"": ""Okay, so when will it actually arrive?"", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700010150}, {""msg"": ""You should receive it within 3 working days. Is there anything else I can help you with?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700010180}, {""msg"": ""No, that covers it."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700010210}]",rule_answer_1,answer,agent,first,2,The agent greeted the customer warmly,Yes
conv_002,"[{""msg"": ""Hi, you've reached ShopDirect support. This is James speaking. How can I assist?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700010000}, {""msg"": ""I ordered something five days ago and it still hasn't shipped. This is really frustrating."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700010030}, {""msg"": ""I understand your frustration. Let me pull up your account. What's your order reference?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700010060}, {""msg"": ""REF-78201."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700010090}, {""msg"": ""I've got order REF-78201 here. It looks like there was a warehouse stock discrepancy that delayed fulfilment. The item has now been allocated and should ship today."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700010120}, {""msg"": ""Okay, so when will it actually arrive?"", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700010150}, {""msg"": ""You should receive it within 3 working days. Is there anything else I can help you with?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700010180}, {""msg"": ""No, that covers it."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700010210}]",rule_trigger_2,trigger,customer,entire,0,The customer had a specific request,Yes
conv_002,"[{""msg"": ""Hi, you've reached ShopDirect support. This is James speaking. How can I assist?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700010000}, {""msg"": ""I ordered something five days ago and it still hasn't shipped. This is really frustrating."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700010030}, {""msg"": ""I understand your frustration. Let me pull up your account. What's your order reference?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700010060}, {""msg"": ""REF-78201."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700010090}, {""msg"": ""I've got order REF-78201 here. It looks like there was a warehouse stock discrepancy that delayed fulfilment. The item has now been allocated and should ship today."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700010120}, {""msg"": ""Okay, so when will it actually arrive?"", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700010150}, {""msg"": ""You should receive it within 3 working days. Is there anything else I can help you with?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700010180}, {""msg"": ""No, that covers it."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700010210}]",rule_answer_2,answer,agent,entire,0,The agent confirmed the customer's details,Yes
conv_002,"[{""msg"": ""Hi, you've reached ShopDirect support. This is James speaking. How can I assist?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700010000}, {""msg"": ""I ordered something five days ago and it still hasn't shipped. This is really frustrating."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700010030}, {""msg"": ""I understand your frustration. Let me pull up your account. What's your order reference?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700010060}, {""msg"": ""REF-78201."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700010090}, {""msg"": ""I've got order REF-78201 here. It looks like there was a warehouse stock discrepancy that delayed fulfilment. The item has now been allocated and should ship today."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700010120}, {""msg"": ""Okay, so when will it actually arrive?"", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700010150}, {""msg"": ""You should receive it within 3 working days. Is there anything else I can help you with?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700010180}, {""msg"": ""No, that covers it."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700010210}]",rule_answer_3,answer,agent,last,2,The call was wrapped up properly,Yes
conv_003,"[{""msg"": ""Hello, ShopDirect customer care. My name is Maria. How can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700020000}, {""msg"": ""I received the wrong item. I ordered blue trainers and got red ones."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700020030}, {""msg"": ""Oh, I apologise for that mix-up! Can I get your order number please?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700020060}, {""msg"": ""It's TKT-22913."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700020090}, {""msg"": ""Got it — TKT-22913. I can see the correct blue trainers should have been dispatched. I'll arrange a free return label and re-send the right pair immediately."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700020120}, {""msg"": ""Great, thank you so much."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700020150}, {""msg"": ""You're very welcome! Have a great day."", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700020180}]",rule_answer_1,answer,agent,first,2,The agent greeted the customer warmly,Yes
conv_003,"[{""msg"": ""Hello, ShopDirect customer care. My name is Maria. How can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700020000}, {""msg"": ""I received the wrong item. I ordered blue trainers and got red ones."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700020030}, {""msg"": ""Oh, I apologise for that mix-up! Can I get your order number please?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700020060}, {""msg"": ""It's TKT-22913."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700020090}, {""msg"": ""Got it — TKT-22913. I can see the correct blue trainers should have been dispatched. I'll arrange a free return label and re-send the right pair immediately."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700020120}, {""msg"": ""Great, thank you so much."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700020150}, {""msg"": ""You're very welcome! Have a great day."", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700020180}]",rule_trigger_2,trigger,customer,entire,0,The customer had a specific request,Yes
